iter	Passed	Remaining
0	0	94
1	1	85
2	2	78
3	2	70
4	3	68
5	4	67
6	4	66
7	5	65
8	6	64
9	7	63
10	7	62
11	8	61
12	9	60
13	9	59
14	10	59
15	11	58
16	11	58
17	12	57
18	13	57
19	14	56
20	14	56
21	15	55
22	16	55
23	17	54
24	18	54
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	16
78	57	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	71	2
97	71	1
98	72	0
99	73	0
